1.0,2.01,0.9,0.94,0.41
1.2,1.32,1.93,0.54,0.42
1.37,0.73,1.53,1.18,0.43
0.65,1.43,1.07,1.97,0.43
0.85,0.79,2.74,1.79,0.44
1.22,1.72,1.4,0.98,0.45
1.38,0.75,0.68,1.37,0.46
1.26,0.49,1.11,1.43,0.47
1.88,1.15,1.25,1.69,0.48
1.87,1.64,2.41,1.44,0.49
0.69,1.44,2.91,1.15,0.5
1.49,1.82,2.27,0.83,0.5
1.89,0.57,1.27,0.42,0.51
1.54,1.37,0.7,0.54,0.52
1.4,0.48,1.63,0.76,0.53
1.09,1.71,0.94,1.55,0.54
0.8,1.59,1.9,0.63,0.55
1.44,1.83,0.63,1.8,0.56
1.99,0.43,1.04,1.68,0.57
1.9,1.06,2.37,1.84,0.57
1.0,0.41,1.17,0.74,0.58
1.15,0.74,2.1,0.41,0.59
1.3,0.71,0.7,1.87,0.6
0.43,1.95,1.99,1.89,0.61
1.33,1.83,0.42,0.92,0.62
1.91,0.72,1.7,1.08,0.63
0.67,1.46,1.14,1.46,0.63
0.87,1.33,2.89,1.05,0.64
1.45,1.94,2.67,0.87,0.65
1.21,1.1,1.72,1.0,0.66
0.51,1.6,2.83,1.4,0.67
1.89,0.53,2.34,1.65,0.68
1.61,1.21,1.57,1.63,0.69
1.53,0.8,0.52,0.5,0.7
1.82,0.87,2.11,1.35,0.7
1.75,1.87,0.57,1.36,0.71
1.16,1.17,0.91,0.45,0.72
0.9,0.42,2.77,1.85,0.73
0.65,0.98,0.88,1.23,0.74
0.67,1.55,0.6,1.01,0.75
1.57,1.08,2.05,0.79,0.76
0.46,0.73,2.97,1.36,0.77
1.43,1.16,0.64,1.46,0.77
0.77,1.99,2.03,0.97,0.78
0.99,0.56,0.66,0.43,0.79
1.46,0.97,2.26,1.73,0.8
1.69,1.68,1.26,1.34,0.81
1.7,1.94,2.92,0.74,0.82
1.49,1.66,2.65,1.41,0.83
1.37,1.54,0.86,1.11,0.83
1.81,0.98,2.8,1.63,0.84
1.36,1.88,0.74,0.81,0.85
1.71,0.68,1.63,1.22,0.86
0.92,0.94,0.89,1.65,0.87
0.68,1.88,1.87,1.88,0.88
1.52,0.92,2.99,0.46,0.89
0.66,0.75,2.54,0.71,0.9
2.0,1.45,2.15,1.13,0.9
1.48,1.61,1.97,0.85,0.91
0.6,1.82,0.84,1.66,0.92
1.63,1.02,1.29,0.73,0.93
0.42,0.86,2.17,0.82,0.94
0.72,0.64,2.88,1.96,0.95
1.84,1.98,0.78,1.78,0.96
1.72,1.84,0.96,1.64,0.97
1.02,0.99,0.69,1.0,0.97
1.36,0.9,2.43,1.57,0.98
1.94,0.93,1.81,0.93,0.99
0.45,0.69,0.98,1.49,1.0
1.55,0.52,1.75,1.25,1.01
1.28,0.45,1.97,0.94,1.02
0.86,1.53,2.42,1.28,1.03
0.71,1.91,2.57,1.81,1.03
0.53,1.26,2.35,1.2,1.04
1.78,0.89,1.0,1.19,1.05
1.93,1.76,1.31,1.48,1.06
